"topic_cluster","search_term","search_intent","audience_persona","funnel_stage","geographic_market","time_period_examined","search_type","trend_direction","regional_interest_observation","related_top_searches","related_rising_searches","serp_format_and_dominant_results","competitor_or_alternative_observed","existing_target_url","recommended_action","priority_score","reason_for_priority","data_evidence_note","client_confirmation_needed"
"B - contractor type","plumbing contractor software india","commercial investigation","Owner of plumbing contracting firm","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: directory-dominated (Capterra India x4 including 'free' filters, SoftwareSuggest) plus US field-service tools (FieldEdge, Jobber, Housecall Pro, ECI). Same service-dispatch intent as HVAC. No Indian project-ERP result.","Capterra India; Jobber; Housecall Pro; FieldEdge","/solutions/mep-contractors","DO NOT target. Scope line only","5","FLAGGED - could NOT publish a better result. Directories own the SERP and the intent is field-service dispatch, not contractor ERP.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None - recommend dropping"
"B - contractor type","solar epc project management software india","commercial investigation","Owner/CMD of solar EPC; project manager","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely India-specific vendor pages - Sunbase (blog 'Best Solar Software for Indian EPCs'), Teknovative, techHind, iSolar, Solar Matrix, OctaBees, pvsoft, solarcrm.in, Metizsoft. Heavy CRM/proposal/design slant (SLD, net metering, DISCOM). One snippet explicitly says most solar software is built for Western markets then adapted for India.","Sunbase; ARKA 360; Solar Ladder; Solar Matrix; OctaBees","/solutions/solar-epc (already exists)","OPTIMISE /solutions/solar-epc - differentiate from the CRM/design crowd by leading on procurement, site inventory, RA/subcontractor billing and material reconciliation, which none of the ranking solar tools cover","1","Clear India-only SERP, clear buying intent, and a real content gap: every ranking competitor sells design/CRM, nobody sells execution and billing control. sotyn.ai can publish demonstrably better evidence. Page already exists.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm solar EPC is a priority ICP vs civil/industrial"
"B - contractor type","civil contractor software india","commercial investigation","Owner/CMD of civil contracting firm","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: mix of aggregators (SourceForge India, Slashdot, Technologycounter, Techimply) and India vendor/blog pages (constructionestimatorindia, eresource Nfra, RDash, SuperWise, Tactive, nyggs). India-specific - snippets cite stage-wise BOQ, RMC and steel tracking, gang contractor billing, RERA/GST. Note heavy estimating slant in top results.","eresource Nfra; Tactive; SuperWise; Contractor Foreman; RDash","/solutions/civil-contractors (already exists)","OPTIMISE /solutions/civil-contractors - target 'civil contractor software India' explicitly and counter the estimating-led competition with execution/billing evidence","1","Largest contractor segment in India, page already exists, SERP is India-specific with real buying intent, and ranking pages are aggregators or thin vendor copy we can out-evidence.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 1 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"B - contractor type","industrial epc erp software","commercial investigation","Owner/CMD; project director of industrial EPC","MOFU-BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23 (query included India + plant construction): strong India vendor SERP - Realx EPC, Xpedeon, eresource Nfra, Lighthouse, Tactive, Alligator Infosoft, Nway, constructionestimatorindia listicles. Snippets name L&T, Tata Projects, NCC and cite steel plants, transmission lines, long-duration EPC contracts.","Realx ERP; Xpedeon; Tactive; Lighthouse; eresource Nfra","/solutions/industrial-epc (already exists)","OPTIMISE /solutions/industrial-epc - add named workflow evidence (long-duration contracts, multi-site stores, plant erection billing) to beat the listicles","2","Good product fit and an India-specific SERP, but the segment skews to large enterprises already running SAP/Ramco, so sales cycles are long. Page exists, so cost to improve is low.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai targets large industrial EPCs or mid-market only"
"C - procurement","construction procurement software","commercial investigation","Purchase manager; owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: entirely foreign vendor pages - Precoro, Access Coins, 4castplus, ProcurePro, Archdesk, FieldMaterials, SubBase, Mitti. Zero Indian results. Content is RFQ/PO/delivery/AP-automation framing. FLAG: strong US index distortion; India SERP would likely surface Tactive, Powerplay, NYGGS.","Precoro; Archdesk; ProcurePro; 4castplus; SubBase","/construction-procurement-software (exact match, already exists)","OPTIMISE /construction-procurement-software - target the India-qualified variant and lead with indent-to-PO-to-GRN chain, which is the India-native vocabulary the foreign vendors do not use","1","Exact-match page already exists and the procurement chain is core product. The foreign SERP is beatable in India because none of the ranking pages speak the indent/GRN/comparative-statement vocabulary Indian purchase managers use.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None"
"C - procurement","purchase order software for construction","commercial investigation","Purchase manager","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mostly foreign vendor pages (Tradogram, Planyard, SiteMax, UDA ConstructionOnline, Archdesk, GetApp directory) with two India results (Powerplay, Tactive). FLAG: probable US weighting.","Powerplay (getpowerplay.in); Tactive; Planyard; Tradogram","/construction-procurement-software","Cover as an H2/section inside /construction-procurement-software. Do not build a separate page","3","Real product fit but it is a sub-feature of procurement, not a separate buying decision. Better consolidated than split.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None"
"C - procurement","material indent format","informational (format download)","Site engineer; purchase manager; store keeper","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 1 of 262 weeks above zero; 12-m: 1 of 53 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Chandigarh 100. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: format/template downloads dominate - Scribd PDFs x3, SiteSetu free PDF format, Yojo free Excel, plus a Blogspot article, IntoAEC software page, SuperWise glossary, ERPNext-style docs (farvisioncloud help) and a Wikipedia disambiguation. Strongly India-specific (WBS number, indent slip, Site Material Requisition). Low-quality Scribd/blog results are clearly beatable.","SiteSetu; Yojo; SuperWise; Scribd (low quality)","/resources (3 guides exist); no material indent resource","CREATE a /resources asset: material indent format (Excel + PDF) with a short guide on indent-to-PO discipline, linking to /construction-procurement-software","2","Highest-confidence TOFU capture in cluster C. The ranking results are Scribd scans and thin template pages - sotyn.ai can publish a genuinely better, properly specified format. Directly feeds the procurement product page and identifies the purchase-manager persona.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 1 of 262 weeks above zero; 12-m: 1 of 53 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially. NOTE: Google Trends was queried on a close variant of this term, not the exact string, so the Trends cells are a proxy.","Confirm sotyn.ai is happy to give away a free Excel/PDF template"
"C - procurement","vendor quotation comparison format","informational (format download)","Purchase manager; accounts","TOFU-MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 1 of 262 weeks above zero; 12-m: 1 of 53 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","no Indian sub-region rose above Google Trends' reporting threshold for this keyword on 2026-09-23","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: template-download SERP - Scribd, constructionsupply.ai free Excel comparative statement, Coefficient, Quotal, Asana RFQ template, codebex docs, practicalqs WordPress. Mixed geography but the India-specific result explicitly uses 'comparative statement' and 'L1 vendor' - the correct Indian terminology, which foreign templates miss.","constructionsupply.ai; Quotal; Asana; Scribd","/resources; /construction-procurement-software","CREATE a /resources asset: comparative statement (quotation comparison) format with L1 selection logic and GST handling","2","Genuine India vocabulary gap ('comparative statement', 'L1') that foreign templates do not serve. Good purchase-manager capture, but one step further from the buying decision than material indent.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 1 of 262 weeks above zero; 12-m: 1 of 53 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm template giveaway"
"C - procurement","site inventory management software construction india","commercial investigation","Purchase manager; store keeper; project manager","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Punjab 0. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: good India mix - Vyapar, Tally Solutions construction inventory, SiteSetu (indent-PO-GRN-stock-issue, multi-store), Powerplay, Infraconsoft, Nway, plus directories (SoftwareSuggest) and foreign (ToolSense, Vitruvi). Snippets explicitly discuss multi-site stock and transfers between sites.","SiteSetu; Powerplay; Vyapar; TallyPrime; Nway","/material-reconciliation; /construction-procurement-software","OPTIMISE /construction-procurement-software with a multi-store / site inventory section, and cross-link to /material-reconciliation","2","Solid India SERP and core product area. Slightly diluted by generic inventory tools (Vyapar, Tally) that are not real competitors for multi-site contractors.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"C - procurement","inter site material transfer format","informational (format download)","Store keeper; site engineer; purchase manager","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: template SERP - signNow, Scribd, TranZact (Excel/Word/PDF), documentof, sampleforms, financestrategists, plus ERPNext documentation pages and Wikipedia. Weak, generic, largely non-construction and non-India. Very beatable.","TranZact; ERPNext docs; Scribd; signNow","/resources; /material-reconciliation","CREATE a /resources asset: inter-site material transfer note format, tied to the multi-store story on /construction-procurement-software","3","Low competition and easy to beat, but narrow and far from a buying decision. Worth doing as part of a procurement format bundle, not on its own.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"C - procurement","purchase approval workflow software construction","commercial investigation","Purchase manager; owner/CMD","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: generic horizontal approval tools dominate - ApprovalMax, Kissflow, Procurify, HappyFox, Knack, Tradogram, zite listicle. Only one construction-specific result (TraceCost). No India results. FLAG: US index distortion plus a generic-software intent mismatch.","ApprovalMax; Kissflow; Procurify; TraceCost","/construction-procurement-software","Cover as a section only. Do not build a page","4","Product fit exists but the SERP belongs to horizontal workflow tools with far greater authority, and there is no India signal. Low chance of winning, low conversion confidence.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. IMPORTANT: the search index used is documented as US-only/US-weighted, so this SERP observation may not match what a user in India sees; this row is FLAGGED as likely distorted.","None"
"D - billing","ra billing software","commercial/transactional","Billing engineer; owner/CMD; accounts","BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","no reliable direction — series is below Google Trends' reporting threshold for India (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Google returns a near-all-zero line at this volume, so no rise or fall can be read from it. Not interpreted as declining interest.","Google Trends India sub-region interest (2026-09-23, index 0-100, relative): Sikkim 100. Sub-threshold sample — indicative only.","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","unknown — no authorised data (Google Trends returned an EMPTY related-queries widget for India on 2026-09-23, which is what it returns when volume is below threshold; no Keyword Planner or Ahrefs access is authorised)","SERP-OBSERVED 2026-09-23: cleanest India-only SERP observed in this study. Every result is India-specific - Sq-Feet, constructionestimatorindia (RA bill guide), Realx ERP, BuilderX Pro, SiteSetu construction billing software, Vyapar. Snippets cite GST compliance, BOQ-linked invoicing, retention, TDS, and Rs 1k-10k/month pricing. No foreign results, no directories, no forums.","SiteSetu; Realx ERP; BuilderX Pro; Sq-Feet; Vyapar","/ra-billing-software (exact match, already exists)","OPTIMISE /ra-billing-software - this is the single strongest term in the set; add worked RA bill examples, deduction logic (retention/TDS/advance recovery) and a comparison against Excel","1","Strongest evidence of genuine Indian software-buying intent anywhere in this research. Exact-match page exists, term is unambiguous, zero foreign contamination, and ranking competitors are small vendors we can out-evidence.","Google Trends India queried 2026-09-23 for both 5-y and 12-m (5-y: 2 of 262 weeks above zero; 12-m: 0 of 0 weeks above zero). Series is at or below Google's reporting threshold, so NO volume, CPC or keyword-difficulty figure is stated anywhere in this row — none is available from an authorised source. SERP composition in this row is SERP-OBSERVED 2026-09-23 via WebSearch. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"D - billing","running account bill format excel","informational (format download)","Billing engineer; site engineer","TOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: format-download SERP with heavy YouTube presence - two Hindi/English YouTube tutorials rank, plus signNow, constructionsupply.ai, SiteSetu free format, In4Velocity blog, xlsxtemplates, Yojo, Scribd. Strongly India-specific (cumulative quantity, retention, TDS, GST). YouTube presence signals a how-to intent we should match with a worked example, not just a file.","SiteSetu; constructionsupply.ai; Yojo; In4Velocity; YouTube creators","/resources (VERIFIED: current assets are cash-flow-control-template, epc-margin-leakage-checklist, tender-rate-analysis - no RA bill format); /tools/ra-bill calculator exists","CREATE a /resources asset: RA bill format (Excel) with a worked cumulative-quantity + deductions example and a short video or step-through, linked to the existing /tools/ra-bill calculator","1","Highest-volume-looking TOFU entry point into the BOFU term we most want (/ra-billing-software). Same persona, same vocabulary. YouTube ranking proves the audience wants to be shown, not just given a file - a gap sotyn.ai can fill with real product evidence.","Google Trends API reached but returned no usable series for this keyword on 2026-09-23. Exact failures: Google returned an empty / zero-length timeline for India, which is what it serves when a keyword is below its reporting threshold. No volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm free template giveaway and whether video production is in scope"
"D - billing","measurement book software","commercial/informational","Billing engineer; site engineer; QS","MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mostly educational/reference - CivilEngPro, build-construct, CivilJungle, Testbook, SuperWise glossary - plus a Google Play app (CWC Measurement Book), a Tribune NEWS article about DDA launching e-MB software, and no real vendor pages. Strongly India/government-flavoured (CPWD/PWD, e-MB). Notable: almost nobody is selling MB software on this SERP.","CWC Measurement Book (Play Store); SuperWise; DDA e-MB (government)","/ra-billing-software; no dedicated MB page","CREATE a page on digital measurement book / e-MB for contractors, linked tightly to /ra-billing-software","1","Real content gap - the SERP is all encyclopaedia entries and one government news item, with no credible vendor page. MB is upstream of RA billing so it captures the billing engineer before the billing decision. Strong fit with what sotyn.ai already does.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Confirm sotyn.ai has a genuine measurement-recording capability to evidence"
"D - billing","subcontractor billing software","commercial/transactional","Billing engineer; accounts; owner/CMD","BOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: India-dominant vendor SERP - Realx ERP, Quantbit BUILDX 'Subcontractor Management Software India', SiteSetu, MyBillBook, InvoiceFree, ACGIL subcontractor module, nyggs blog, constructionestimatorindia. Snippets cite work orders, advance deduction, retention application, subcontractor settlement. Minimal foreign contamination.","Realx ERP; Quantbit BUILDX; SiteSetu; ACGIL","/subcontractor-billing-software (exact match, already exists)","OPTIMISE /subcontractor-billing-software - add worked deduction/settlement examples and link from /ra-billing-software","1","Exact-match page exists, India-specific SERP, explicit transactional intent, and competitors are thin vendor pages. Directly monetisable.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"D - billing","contractor bill checking checklist","informational","Billing engineer; project manager; accounts","TOFU-MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: mixed - a Civil4M FORUM thread ('Checklist for RA Bill Verification Work') ranks, plus Scribd, civaropulse, build-construct, and several US results (Levelset x2, World Bank PPP, Raken, Stone Development contractor-vetting - the last is hiring intent, not billing). Forum ranking signals unmet demand: practitioners are asking each other because no good published resource exists.","Civil4M forum; Levelset (US); Scribd","/resources; feeds /ra-billing-software","CREATE a /resources asset: RA bill verification checklist (first bill / subsequent RA / final bill / SD release), which is exactly what the forum thread is asking for","2","A ranking forum thread is strong evidence of an unserved need, and sotyn.ai can publish a definitively better checklist. Slightly lower priority than the format assets because intent is further from purchase and the SERP has US contamination.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","None"
"D - billing","retention money in construction contracts india","informational","Billing engineer; accounts; owner/CMD","TOFU-MOFU","India","Google Trends India 5-y (2021-09-23 to 2026-09-23, weekly) and 12-m (2025-09-23 to 2026-09-23, weekly), both queried 2026-09-23; SERP observed 2026-09-23","Google web search (Google Trends 'Web Search' property)","insufficient data — Trends not accessible 2026-09-23","insufficient data — Trends not accessible 2026-09-23","unknown — no authorised data","unknown — no authorised data","SERP-OBSERVED 2026-09-23: unusually authoritative - a Cyril Amarchand Mangaldas dispute-resolution LEGAL blog, Tenderkart, BWERP, Onsite, Mastt, superconstruct, Sihela, cmfusion. India-specific and legally grounded: snippets cite 5-10 percent of certified RA bills, CPWD/PWD at 5 percent, and the Government of India 2025 Works Procurement Manual.","Onsite; BWERP; Mastt; Cyril Amarchand (legal, not a competitor)","/tools/retention (VERIFIED calculator already exists); /ra-billing-software","OPTIMISE the existing /tools/retention calculator with the 5-10 percent / CPWD-5-percent norms and ADD a /resources guide on retention tracking and release citing the 2025 Works Procurement Manual. Do NOT build a second calculator","2","Genuine India-specific informational demand adjacent to core product, and the retention-tracking pain is a real ERP purchase trigger. Lower than 1 because a law-firm page and government sources set a high authority bar.","Google Trends: keyword not retrieved before cut-off on 2026-09-23 (trends.google.com/trends/api/explore returned HTTP 429 rate-limiting during the run); no volume, CPC or difficulty figure is available from any authorised source. The observed SERP is India-specific (Indian vendors, Indian vocabulary such as RA bill / GST / BOQ / indent), so US index weighting appears NOT to have distorted this row materially.","Legal accuracy review before publishing anything citing the Works Procurement Manual"
